time (UTC),feature_type_instance,latitude (degrees_north),longitude (degrees_east),crs,platform,depth (m),acceleration_x,acceleration_y,acceleration_z,avg_wind_u,avg_wind_v,avg_wind_w,buoyancy_flux,dcl_date_time_string (1),heading,max_acc_x,max_acc_y,max_acc_z,max_heading,max_pitch,max_rate_x,max_rate_y,max_rate_z,max_roll,max_speed_of_sound,max_wind_u,max_wind_v,max_wind_w,min_acc_x,min_acc_y,min_acc_z,min_heading,min_pitch,min_rate_x,min_rate_y,min_rate_z,min_roll,min_speed_of_sound,min_wind_u,min_wind_v,min_wind_w,momentum_flux_uw,momentum_flux_vw,pitch,processing_version,rate_x,rate_y,rate_z,roll,speed_of_sound,start_time,status,std_acc_x,std_acc_y,std_acc_z,std_heading,std_pitch,std_rate_x,std_rate_y,std_rate_z,std_roll,std_speed_of_sound,std_u_corrected,std_v_corrected,std_w_corrected,std_wind_u,std_wind_v,std_wind_w,u_corrected,v_corrected,w_corrected,wave_motion,wind_speed,deploy_id (1)
2024-06-02 00:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,1.95,-1.92,-3.05,-0.0,2024/06/02 00:21:58.761,1.49,0.49,-0.71,0.5,1.5,-0.48,0.02,0.02,0.03,-0.96,19.04,3.94,-0.09,-1.19,0.48,-0.72,0.49,1.48,-0.48,-0.01,-0.01,-0.0,-0.96,18.53,0.07,-4.01,-4.96,-0.04,-0.0,-0.48,4.0,0.0,0.0,0.01,-0.96,18.72,154.008329,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.55,0.36,0.12,0.51,0.54,0.53,3.72,1.48,0.81,0.05,4.08,D0011
2024-06-02 01:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,0.14,-2.82,-2.23,-0.0,2024/06/02 01:21:58.410,1.53,0.49,-0.71,0.5,1.54,-0.48,0.02,0.02,0.03,-0.96,19.67,1.57,-0.33,-0.27,0.48,-0.72,0.49,1.51,-0.48,-0.01,-0.01,-0.0,-0.96,18.78,-1.3,-4.75,-4.27,-0.03,-0.01,-0.48,4.0,0.0,0.0,0.01,-0.96,19.17,154.049995,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.57,0.16,0.06,0.36,0.79,0.57,3.42,-0.53,0.99,0.04,3.6,D0011
2024-06-02 02:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,0.91,-2.64,-2.76,-0.0,2024/06/02 02:21:58.906,1.51,0.49,-0.71,0.5,1.53,-0.48,0.02,0.02,0.03,-0.96,19.52,2.82,-0.43,-1.13,0.48,-0.72,0.49,1.49,-0.48,-0.01,-0.01,-0.0,-0.96,18.77,-0.72,-4.86,-4.67,-0.03,-0.01,-0.48,4.0,0.0,0.0,0.01,-0.96,19.08,154.091662,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.57,0.31,0.11,0.48,0.71,0.51,3.8,0.28,0.98,0.05,3.93,D0011
2024-06-02 03:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,1.22,0.67,-0.04,0.01,2024/06/02 03:21:58.787,1.52,0.49,-0.71,0.5,1.53,-0.48,0.02,0.02,0.03,-0.96,19.0,3.55,5.82,3.65,0.48,-0.72,0.49,1.5,-0.48,-0.01,-0.01,-0.0,-0.96,18.25,-0.73,-3.8,-3.26,-0.19,-0.21,-0.48,4.0,0.0,0.0,0.01,-0.96,18.58,154.133329,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.76,0.85,0.23,0.65,1.94,1.54,-0.3,1.36,0.07,0.04,1.4,D0011
2024-06-02 04:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,2.05,2.36,1.07,0.01,2024/06/02 04:21:58.765,1.52,0.5,-0.71,0.5,1.53,-0.48,0.02,0.02,0.02,-0.96,18.95,5.12,6.54,4.46,0.48,-0.72,0.49,1.51,-0.48,-0.01,-0.01,-0.0,-0.96,17.78,-0.39,-1.11,-2.37,-0.3,-0.03,-0.48,4.0,0.0,0.0,0.01,-0.96,18.28,154.174995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.18,0.84,0.39,0.81,1.11,0.86,-2.12,2.57,-0.16,0.06,3.34,D0011
2024-06-02 05:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,2.26,1.26,-0.43,0.01,2024/06/02 05:21:58.676,1.52,0.49,-0.71,0.5,1.53,-0.48,0.02,0.02,0.02,-0.95,17.32,5.89,4.43,2.6,0.48,-0.72,0.49,1.51,-0.48,-0.01,-0.01,-0.0,-0.96,16.36,-0.44,-1.34,-4.23,-0.08,-0.09,-0.48,4.0,0.0,0.0,0.01,-0.96,16.79,154.216662,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.02,1.27,0.34,0.97,0.82,1.04,-0.24,2.6,-0.02,0.04,2.61,D0011
2024-06-02 06:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,2.7,1.32,-0.7,0.01,2024/06/02 06:21:58.209,1.51,0.5,-0.71,0.5,1.52,-0.48,0.02,0.02,0.03,-0.96,16.19,6.88,4.76,2.64,0.48,-0.72,0.49,1.5,-0.48,-0.01,-0.01,-0.0,-0.96,15.66,0.06,-1.95,-4.67,-0.13,-0.09,-0.48,4.0,0.0,0.0,0.01,-0.96,15.88,154.258329,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.19,1.35,0.43,1.09,0.89,1.15,-0.0,3.1,0.03,0.05,3.1,D0011
2024-06-02 07:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,1.93,1.26,-0.07,0.01,2024/06/02 07:21:58.426,1.55,0.49,-0.71,0.5,1.56,-0.48,0.02,0.02,0.02,-0.96,16.06,4.91,4.52,2.6,0.48,-0.72,0.49,1.53,-0.48,-0.01,-0.01,-0.0,-0.96,15.62,-0.12,-1.13,-3.25,-0.15,-0.07,-0.48,4.0,0.0,0.0,0.01,-0.96,15.78,154.299995,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.85,0.83,0.32,0.77,0.84,0.82,-0.62,2.23,-0.0,0.04,2.31,D0011
2024-06-02 08:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,1.72,1.17,0.03,0.01,2024/06/02 08:21:58.083,1.54,0.49,-0.71,0.5,1.55,-0.48,0.02,0.02,0.02,-0.96,15.86,4.02,3.74,3.05,0.48,-0.72,0.49,1.52,-0.48,-0.01,-0.01,-0.0,-0.96,15.48,-0.29,-1.14,-2.53,-0.11,-0.01,-0.48,4.0,0.0,0.0,0.01,-0.96,15.62,154.341662,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.73,0.67,0.26,0.59,0.75,0.75,-0.64,2.0,0.0,0.04,2.1,D0011
2024-06-02 09:21:58+00:00,gi01sumo,59.998,-39.481,-2147483647,-2147483647,-4.81,0.49,-0.72,0.5,1.81,1.43,0.23,0.0,2024/06/02 09:21:58.099,1.53,0.49,-0.71,0.5,1.55,-0.48,0.02,0.02,0.03,-0.96,15.51,3.93,3.92,2.47,0.48,-0.72,0.49,1.48,-0.48,-0.01,-0.01,-0.0,-0.96,15.17,-0.13,-1.27,-1.95,-0.16,-0.03,-0.48,4.0,0.0,0.0,0.01,-0.96,15.31,154.383329,1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.84,0.39,0.23,0.57,0.81,0.58,-0.92,2.13,-0.03,0.04,2.32,D0011
